 Date  	 Hs(m)  	 Tp(s)  	Dir(°)	Trait de côte(m)
20-Feb-2013	  0.7416	  9.5747	110	 68.7295
21-Feb-2013	  0.6392	 10.7784	NaN	 70.1449
22-Feb-2013	  0.6082	  9.6704	NaN	 74.3490
23-Feb-2013	  0.6480	 10.0323	105	 70.9569
24-Feb-2013	  0.7296	 10.5089	107	 69.8245
25-Feb-2013	  0.7700	  9.2182	112	 63.3505
26-Feb-2013	  0.8510	  9.4354	107	 69.7429
27-Feb-2013	  0.7986	  9.6453	108	 71.2138
28-Feb-2013	  0.8346	  8.7897	113	 71.8454
01-Mar-2013	  0.8193	  9.0806	98	 72.3400
02-Mar-2013	  0.7516	  9.0301	108	 72.9335
03-Mar-2013	  0.7105	  8.6140	110	 75.0723
04-Mar-2013	  0.8520	  9.7270	109	 71.7002
05-Mar-2013	  0.8193	  9.0274	112	 68.4919
06-Mar-2013	  1.0280	  9.3167	106	 71.7340
07-Mar-2013	     NaN	     NaN	NaN	     NaN
08-Mar-2013	     NaN	     NaN	NaN	     NaN
09-Mar-2013	  0.6911	  9.7704	104	 70.0577
10-Mar-2013	  0.7248	 10.2956	104	 69.7259
11-Mar-2013	  0.8136	 10.2916	108	 71.9022
12-Mar-2013	  0.8230	 10.5095	108	 71.9371
13-Mar-2013	  0.7424	 10.5210	107	 71.9892
14-Mar-2013	  0.8604	 12.0791	112	 70.5298
15-Mar-2013	  0.8472	 10.3304	105	 69.3463
16-Mar-2013	  0.7759	  9.8717	118	 66.7559
17-Mar-2013	     NaN	     NaN	NaN	     NaN
18-Mar-2013	  0.7551	 11.8489	110	 68.3261
19-Mar-2013	  0.7879	 10.5908	114	 68.2573
20-Mar-2013	  0.8416	 10.1608	112	 69.3424
21-Mar-2013	  0.7190	 10.1295	105	 69.7690
22-Mar-2013	  0.7596	 10.3359	117	 68.8823
23-Mar-2013	  0.9420	 10.7183	111	 66.9764
24-Mar-2013	  0.8235	 10.6959	115	 66.4158
25-Mar-2013	  0.7517	 10.1357	107	 70.2321
26-Mar-2013	  0.7376	 10.2450	104	 70.1100
27-Mar-2013	  0.7935	 11.7322	113	 67.4788
28-Mar-2013	  0.7276	 10.3666	115	 68.0658
29-Mar-2013	  0.8173	 10.4142	114	 68.0786
30-Mar-2013	  0.8351	 10.4571	106	 68.7950
31-Mar-2013	  0.8935	 10.8360	105	 69.7334
01-Apr-2013	  0.7904	  9.5946	107	 70.6850
02-Apr-2013	  0.5807	  8.7754	NaN	     NaN
03-Apr-2013	  0.7618	  9.2292	108	 69.7739
04-Apr-2013	  0.8530	  9.5088	108	 67.9027
05-Apr-2013	  0.8955	  9.9916	108	 66.5113
06-Apr-2013	  0.8790	 11.0152	115	 65.0903
07-Apr-2013	  0.9035	 10.9706	110	 63.8375
08-Apr-2013	  0.6227	 10.2102	108	 67.9391
09-Apr-2013	  0.8717	  9.4912	111	 67.5646
10-Apr-2013	  0.7702	  9.5640	111	 70.6590
11-Apr-2013	     NaN	     NaN	NaN	     NaN
12-Apr-2013	     NaN	     NaN	NaN	     NaN
13-Apr-2013	     NaN	     NaN	NaN	     NaN
14-Apr-2013	     NaN	     NaN	NaN	     NaN
15-Apr-2013	  0.9316	  8.8265	108	 66.6584
16-Apr-2013	  0.8870	  9.3303	107	 64.9088
17-Apr-2013	     NaN	     NaN	NaN	     NaN
18-Apr-2013	     NaN	     NaN	NaN	     NaN
19-Apr-2013	     NaN	     NaN	NaN	     NaN
20-Apr-2013	     NaN	     NaN	NaN	     NaN
21-Apr-2013	     NaN	     NaN	NaN	     NaN
22-Apr-2013	     NaN	     NaN	NaN	     NaN
23-Apr-2013	     NaN	     NaN	NaN	     NaN
24-Apr-2013	     NaN	     NaN	NaN	     NaN
25-Apr-2013	     NaN	     NaN	NaN	     NaN
26-Apr-2013	     NaN	     NaN	NaN	     NaN
27-Apr-2013	     NaN	     NaN	NaN	     NaN
28-Apr-2013	     NaN	     NaN	NaN	     NaN
29-Apr-2013	     NaN	     NaN	NaN	     NaN
30-Apr-2013	     NaN	     NaN	NaN	     NaN
01-May-2013	     NaN	     NaN	NaN	     NaN
02-May-2013	     NaN	     NaN	NaN	     NaN
03-May-2013	  1.0135	  9.2095	106	 63.3185
04-May-2013	  0.8925	 10.3537	109	 63.1478
05-May-2013	  1.0293	 10.1136	109	 59.9399
06-May-2013	  1.3417	 10.2251	106	 62.1521
07-May-2013	  1.3740	  9.6349	107	 61.4211
08-May-2013	  1.0946	  8.9688	108	 60.3764
09-May-2013	  1.0741	  9.3816	107	 62.3321
10-May-2013	  1.1501	  9.0779	109	 63.0082
11-May-2013	  0.8132	  8.8764	114	 61.4194
12-May-2013	     NaN	     NaN	NaN	     NaN
13-May-2013	  0.6410	 10.9177	110	 64.4543
14-May-2013	  0.7309	 10.4984	110	 64.8607
15-May-2013	  0.7663	 10.1435	110	 65.1789
16-May-2013	  0.9285	  9.2290	111	 68.0490
17-May-2013	  0.9515	  8.9788	113	 65.4732
18-May-2013	  0.9159	  8.7557	104	 66.1982
19-May-2013	  0.6647	 10.2731	115	 65.0648
20-May-2013	  0.7302	  9.9201	107	 66.2967
21-May-2013	  0.8445	  9.8157	111	 68.3342
22-May-2013	     NaN	     NaN	NaN	     NaN
23-May-2013	  0.7144	  9.8082	110	 68.3278
24-May-2013	  0.7596	  9.6384	114	 69.6519
25-May-2013	  0.8082	  9.5814	108	 70.3998
26-May-2013	  0.7242	 10.4491	116	 69.0318
27-May-2013	  0.6727	 10.3976	113	 69.5013
28-May-2013	  0.7684	  9.5899	104	 70.1445
29-May-2013	  0.7209	  9.7261	108	 70.7010
30-May-2013	  0.7879	  9.6074	105	 69.8370
31-May-2013	  0.6549	 10.1370	109	 69.1651
01-Jun-2013	  0.6526	  9.5418	107	 69.2134
02-Jun-2013	  0.7326	 11.2021	108	 64.9218
03-Jun-2013	  0.7773	 10.0113	110	 68.1527
04-Jun-2013	  0.7680	 10.7424	107	 68.2153
05-Jun-2013	  0.9382	 11.0681	94	 68.9676
06-Jun-2013	  0.8578	  9.9496	110	 64.5115
07-Jun-2013	  1.3667	  9.9959	107	 62.2583
08-Jun-2013	  1.3316	 11.2604	111	 59.7319
09-Jun-2013	  0.9026	  9.2048	120	 59.1729
10-Jun-2013	  0.9783	  8.5702	112	 59.7434
11-Jun-2013	  1.1426	  9.0287	108	 60.8532
12-Jun-2013	  1.3361	  8.7316	110	 61.4136
13-Jun-2013	  1.2458	  9.2436	108	 60.9168
14-Jun-2013	  1.2436	  9.6987	116	 62.5141
15-Jun-2013	     NaN	     NaN	NaN	     NaN
16-Jun-2013	  0.7635	  9.5472	113	 54.7858
17-Jun-2013	  1.0322	  8.8074	110	 62.9627
18-Jun-2013	  0.6786	  9.8501	113	 61.1480
19-Jun-2013	  0.7786	 10.8176	107	 60.6588
20-Jun-2013	     NaN	     NaN	NaN	     NaN
21-Jun-2013	  0.8721	  9.2856	110	 61.9427
22-Jun-2013	     NaN	     NaN	NaN	     NaN
23-Jun-2013	     NaN	     NaN	NaN	     NaN
24-Jun-2013	  0.9700	 10.5381	104	 64.3182
25-Jun-2013	  0.9039	 11.0533	107	 64.0227
26-Jun-2013	  1.0118	 11.4409	113	 63.9069
27-Jun-2013	  0.9029	 11.6799	121	 50.3415
28-Jun-2013	     NaN	     NaN	NaN	     NaN
29-Jun-2013	     NaN	     NaN	NaN	     NaN
30-Jun-2013	  0.8950	  8.6001	105	 60.6262
01-Jul-2013	  1.0198	 10.6700	109	 59.2845
02-Jul-2013	  1.0373	 12.9089	108	 59.2143
03-Jul-2013	  1.1721	  9.6744	112	 59.9169
04-Jul-2013	  1.0588	 10.3675	106	 60.1780
05-Jul-2013	  0.9504	  9.0441	112	 61.0808
06-Jul-2013	  1.2033	  9.1329	111	 61.3488
07-Jul-2013	  0.9839	 11.5850	119	 64.3193
08-Jul-2013	  1.1355	 10.9350	104	 63.3136
09-Jul-2013	  1.1927	 11.2398	108	 62.1284
10-Jul-2013	  0.8875	 12.4248	110	 62.5947
11-Jul-2013	  0.9119	 12.3050	109	 65.0622
12-Jul-2013	  0.9730	 10.8076	110	 65.2116
13-Jul-2013	  1.0850	 10.5718	110	 63.5256
14-Jul-2013	  0.9957	 11.9066	111	 65.9253
15-Jul-2013	  0.9743	 11.0989	110	 65.3762
16-Jul-2013	  1.0564	 11.2099	108	 63.1351
17-Jul-2013	  1.0661	 12.3068	109	 66.3933
18-Jul-2013	  0.7253	 10.7151	107	 65.9190
19-Jul-2013	  0.8190	  9.3246	105	 65.1291
20-Jul-2013	  0.7771	 10.9498	111	 64.6627
21-Jul-2013	  0.8270	 10.0143	115	 65.5683
22-Jul-2013	  0.7574	  9.8376	108	 67.2385
23-Jul-2013	  0.8161	  9.5793	105	 66.4026
24-Jul-2013	  0.6114	 10.5404	104	 64.8442
25-Jul-2013	  0.8273	  8.8934	110	 64.8760
26-Jul-2013	  0.8971	  9.8089	106	 65.6897
27-Jul-2013	  0.9963	 12.3934	116	 64.7349
28-Jul-2013	  1.0804	 11.4454	121	 64.3618
29-Jul-2013	  1.1060	 11.0196	111	 64.6727
30-Jul-2013	  1.1142	 10.9396	110	 64.6765
31-Jul-2013	     NaN	     NaN	NaN	     NaN
01-Aug-2013	  1.0111	 11.9498	116	 66.5896
02-Aug-2013	  1.0723	 11.3686	114	 65.3918
03-Aug-2013	  0.9792	 11.8024	111	 58.3612
04-Aug-2013	  0.8949	 12.4992	114	 67.3373
05-Aug-2013	  0.8281	 13.5682	107	 66.7706
06-Aug-2013	  0.9452	 13.9402	106	 67.5613
07-Aug-2013	     NaN	     NaN	NaN	     NaN
08-Aug-2013	     NaN	     NaN	NaN	     NaN
09-Aug-2013	     NaN	     NaN	NaN	     NaN
10-Aug-2013	     NaN	     NaN	NaN	     NaN
11-Aug-2013	     NaN	     NaN	NaN	     NaN
12-Aug-2013	     NaN	     NaN	NaN	     NaN
13-Aug-2013	     NaN	     NaN	NaN	     NaN
14-Aug-2013	     NaN	     NaN	NaN	     NaN
15-Aug-2013	     NaN	     NaN	NaN	     NaN
16-Aug-2013	     NaN	     NaN	NaN	     NaN
17-Aug-2013	     NaN	     NaN	NaN	     NaN
18-Aug-2013	     NaN	     NaN	NaN	     NaN
19-Aug-2013	     NaN	     NaN	NaN	     NaN
20-Aug-2013	     NaN	     NaN	NaN	     NaN
21-Aug-2013	     NaN	     NaN	NaN	     NaN
22-Aug-2013	     NaN	     NaN	NaN	     NaN
23-Aug-2013	     NaN	     NaN	NaN	     NaN
24-Aug-2013	     NaN	     NaN	NaN	     NaN
25-Aug-2013	     NaN	     NaN	NaN	     NaN
26-Aug-2013	     NaN	     NaN	NaN	     NaN
27-Aug-2013	     NaN	     NaN	NaN	     NaN
28-Aug-2013	     NaN	     NaN	NaN	     NaN
29-Aug-2013	     NaN	     NaN	NaN	     NaN
30-Aug-2013	     NaN	     NaN	NaN	     NaN
31-Aug-2013	     NaN	     NaN	NaN	     NaN
01-Sep-2013	  0.8295	  8.7183	110	 62.3134
02-Sep-2013	  1.1804	  8.6996	110	 62.4540
03-Sep-2013	  0.9167	  9.8523	107	 61.8008
04-Sep-2013	  0.9100	 12.1133	104	 66.1238
05-Sep-2013	  1.1736	 10.0084	107	 64.7653
06-Sep-2013	  0.7791	 13.5187	109	 62.2241
