 Date  	 Hs(m)  	 Std(Hs)(m)  	 Tp(s)  	 Std(Tp)(s) 	 Dir(°)  	 Std(Dir)(°)  	Trait de côte(m)	 Std(trait côte)(m)
01-Feb-2013	  0.7337	  0.1566	  9.7469	  1.1924	109.1446	 13.7530	 70.5536	  3.4684
01-Mar-2013	  0.7975	  0.1504	 10.2395	  1.3006	109.2455	 12.9248	 69.8306	  3.3654
01-Apr-2013	  0.8265	  0.1526	  9.8360	  1.0299	109.2700	 11.2458	 67.6170	  2.9709
01-May-2013	  0.8721	  0.2562	  9.7578	  1.1426	109.3295	  9.7833	 66.0478	  4.1631
01-Jun-2013	  0.9730	  0.2750	  9.9428	  1.2734	109.2897	 14.9652	 63.1202	  4.0612
01-Jul-2013	  0.9643	  0.2201	 10.7759	  1.4265	109.8283	 12.6866	 63.8439	  3.3338
01-Aug-2013	  0.9542	  0.1508	 12.4771	  1.2748	111.7474	 12.3518	 65.8545	  4.0751
01-Sep-2013	  0.9768	  0.2815	 10.2022	  1.7514	109.5295	 13.9849	 61.9698	  4.0959
01-Oct-2013	  0.8466	  0.2078	 10.2832	  1.5421	110.5193	 14.3505	 66.5136	  4.0180
01-Nov-2013	  0.7685	  0.1783	 10.6009	  1.6354	111.5040	 14.8237	 67.5709	  3.2584
01-Dec-2013	  0.8793	  0.3495	 11.1222	  1.4160	110.4000	 12.2619	 65.1730	  3.3770
01-Jan-2014	  0.6902	  0.1099	 10.2087	  1.1527	109.7177	  9.4965	 69.2030	  2.9936
01-Feb-2014	  0.8179	  0.1427	  9.8647	  1.0668	104.6674	 17.0904	 68.6196	  2.1876
01-Mar-2014	  0.8419	  0.1838	  9.9808	  1.2738	110.9215	 13.4303	 67.0256	  3.1198
01-Apr-2014	  0.8277	  0.1892	 10.1404	  1.3092	110.1224	 13.7914	 66.3363	  3.2166
01-May-2014	  0.9474	  0.3885	  9.8414	  1.3382	108.7641	 13.3842	 62.6993	  4.4920
01-Jun-2014	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN
01-Jul-2014	  0.9968	  0.3396	 10.3147	  1.2621	109.5023	 11.2398	 59.2186	  3.0193
01-Aug-2014	  0.9829	  0.2739	 10.6941	  1.7688	109.9366	 14.1931	 60.6686	  3.9492
01-Sep-2014	  0.8446	  0.1858	 10.4733	  1.5434	110.5247	 14.8020	 61.9620	  5.0078
01-Oct-2014	  0.8319	  0.2003	  9.9725	  1.3952	111.5010	 16.4598	 64.5504	  2.7676
01-Nov-2014	  0.8309	  0.2679	  9.8709	  1.6531	108.4898	 12.0059	 62.3549	  3.2608
01-Dec-2014	  0.7074	  0.1395	  9.7811	  1.1622	108.9153	 14.6048	 65.0553	  3.0412
01-Jan-2015	  0.6478	  0.1014	  9.6601	  1.3264	108.0771	  7.4987	 65.1575	  3.2058
01-Feb-2015	  0.7184	  0.1243	 10.3341	  1.3571	108.2184	 19.4859	 62.2571	  2.2860
01-Mar-2015	  0.7418	  0.1253	  9.2383	  0.9161	106.9571	 13.0528	 62.2485	  2.3133
01-Apr-2015	  0.7405	  0.1074	  9.1777	  1.0544	108.8699	 11.8567	 62.7207	  1.5907
01-May-2015	  0.7769	  0.1365	  9.5827	  1.0216	108.1976	 12.7542	 61.8718	  2.7756
01-Jun-2015	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN
01-Jul-2015	  0.9640	  0.2882	 11.2355	  1.3165	110.8445	 17.3087	 57.4412	  3.4610
01-Aug-2015	  1.0634	  0.2211	 11.0050	  1.2895	109.3115	 13.1833	 56.3010	  3.0980
01-Sep-2015	  0.7169	  0.1651	 11.7466	  1.4910	108.3571	 15.6628	 60.8185	  2.9915
01-Oct-2015	  0.6590	  0.1298	  9.9955	  2.0523	105.4900	  7.0537	 63.3317	  3.1168
01-Nov-2015	  0.7128	  0.1852	 10.2139	  1.7899	105.0114	 11.6176	 63.1531	  2.1694
01-Dec-2015	  0.6003	  0.0806	  9.9816	  1.7008	105.1457	 10.2817	 64.8722	  2.4121
01-Jan-2016	  0.6115	  0.0809	  9.9696	  1.8171	105.5526	 11.1884	 64.9211	  2.5148
01-Feb-2016	  0.7076	  0.1401	 10.8101	  1.4647	105.6224	 15.4538	 62.6842	  2.6188
01-Mar-2016	  0.6889	  0.1218	  9.9245	  1.1534	108.2303	 18.2316	 62.9504	  2.4296
01-Apr-2016	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN	     NaN
01-May-2016	  0.8572	  0.2150	  9.8752	  1.6207	104.9724	 13.6543	 58.6092	  3.8659
01-Jun-2016	  0.7800	  0.2039	 10.4123	  1.5189	103.5640	 15.4514	 60.1761	  3.0358
